Mario Is Missing! (USA).zip|Mario Is Missing|马里奥失踪记
Journey to Silius (USA).zip|Journey to Silius (USA)|最终殖民地（美）
Journey to the West 2.zip|Journey to the West 2|西天取经2
Journey to the West (Asia) (Unl).zip|Journey to the West (Asia) (Unl)|西天取经
Joust (Japan).zip|Joust (Japan)|鸵鸟骑士（日）
Joust (USA).zip|Joust (USA)|鸵鸟骑士（美）
Joy Mech Fight (Japan).zip|Joy Mech Fight (Japan)|快乐机器人格斗
judo.zip|judo|柔道
JuJu Densetsu (Japan).zip|JuJu Densetsu (Japan)|JuJu传说（日）
JuJu Legend (Chinese).zip|JuJu Legend (Chinese)|JuJu传说（中）
JuJu Legend (Chinese version).zip|JuJu Legend (Chinese version)|JuJu传说（中）
Jumbo Ozaki no Hole in One Professional (Japan).zip|Jumbo Ozaki no Hole in One Professional (Japan)|尾崎高尔夫
Jumpin' Kid - Jack to Mame no Ki Monogatari (Japan).zip|Jumpin' Kid - Jack to Mame no Ki Monogatari (Japan)|杰克与魔豆
Jungle Book- The (Europe).zip|Jungle Book- The (Europe)|森林王子（欧）
Jungle Book- The (USA).zip|Jungle Book- The (USA)|森林王子（美）
Jurassic Park (Europe).zip|Jurassic Park (Europe)|侏罗纪公园（欧）
Jurassic Park.zip|Jurassic Park|侏罗纪公园
Jurassic Park (USA).zip|Jurassic Park (USA)|侏罗纪公园（美）
Just Breed (Japan).zip|Just Breed (Japan)|光荣圣战
Juuouki (Japan).zip|Juuouki (Japan)|兽王记
Juvei Quest (Japan).zip|Juvei Quest (Japan)|十兵卫大冒险
Juvei Quest (Japan) (Rev 1).zip|Juvei Quest (Japan) (Rev 1)|十兵卫大冒险
Kaettekita! Gunjin Shougi - Nanya Sore! (Japan).zip|Kaettekita! Gunjin Shougi - Nanya Sore! (Japan)|军人将棋
Kage (Japan).zip|Kage (Japan)|赤影战士
Kage no Densetsu (Japan).zip|Kage no Densetsu (Japan)|影子传说
Kaguya Hime Densetsu (Japan).zip|Kaguya Hime Densetsu (Japan)|竹取公主
Kaijuu Monogatari (Japan).zip|Kaijuu Monogatari (Japan)|贝兽物语
Kaiketsu Yancha Maru 2 - Karakuri Land (Japan).zip|Kaiketsu Yancha Maru 2 - Karakuri Land (Japan)|快杰洋枪丸2机关之地大冒险
Kaiketsu Yancha Maru 3 - Taiketsu! Zouringen (Japan).zip|Kaiketsu Yancha Maru 3 - Taiketsu! Zouringen (Japan)|快杰洋枪丸3对决!相凌轩
Kaiketsu Yancha Maru (Japan).zip|Kaiketsu Yancha Maru (Japan)|快杰洋枪丸
Kakefu-kun no Jump Tengoku - Speed Jigoku (Japan).zip|Kakefu-kun no Jump Tengoku - Speed Jigoku (Japan)|加其夫天国与地狱
Kamen no Ninja - Akakage (Japan).zip|Kamen no Ninja - Akakage (Japan)|假面忍者-赤影
Kamen no Ninja - Hanamaru (Japan).zip|Kamen no Ninja - Hanamaru (Japan)|假面忍者花丸
Kame no Ongaeshi - Urashima Densetsu (Japan).zip|Kame no Ongaeshi - Urashima Densetsu (Japan)|义龟报恩
Kamen Rider Club (Japan).zip|Kamen Rider Club (Japan)|假面超人俱乐部
Kamen Rider SD - Granshocker no Yabou (Japan).zip|Kamen Rider SD - Granshocker no Yabou (Japan)|SD?假面骑士
Kanov.zip|Kanov|卡诺夫
Kanshakudama Nage Kantarou no Toukaidou Gojuusan Tsugi (Japan).zip|Kanshakudama Nage Kantarou no Toukaidou Gojuusan Tsugi (Japan)|东海道五十三次
Karakuri Kengou Den Musashi Lord - Karakuribito Hashiru (Japan).zip|Karakuri Kengou Den Musashi Lord - Karakuribito Hashiru (Japan)|忍者剑豪传
Karaoke Studio (Japan).zip|Karaoke Studio (Japan)|人声消除工具
Karaoke Studio Senyou Cassette Vol. 1 (Japan).zip|Karaoke Studio Senyou Cassette Vol. 1 (Japan)|卡啦OK专用带1
Karaoke Studio Senyou Cassette Vol. 2 (Japan).zip|Karaoke Studio Senyou Cassette Vol. 2 (Japan)|卡啦OK专用带2
Karate champion.zip|Karate champion|空手道
Karate Champ (USA).zip|Karate Champ (USA)|空手道冠军（美）
Karate Champ (USA) (Rev A).zip|Karate Champ (USA) (Rev A)|空手道冠军（美）
Karateka (Japan) (Beta).zip|Karateka (Japan) (Beta)|空手道（日）
Karateka (Japan).zip|Karateka (Japan)|空手道（日）
Karate Kid- The (USA).zip|Karate Kid- The (USA)|空手道小子
Karnov (Japan) (Rev 1).zip|Karnov (Japan) (Rev 1)|卡诺夫
Karnov (USA).zip|Karnov (USA)|卡诺夫（美）
Kawa no Nushi Tsuri (Japan).zip|Kawa no Nushi Tsuri (Japan)|钓鱼冒险
Kazama Jun to Asama Yuuko no AV Dragon Mahjong (Japan) (Unl).zip|Kazama Jun to Asama Yuuko no AV Dragon Mahjong (Japan) (Unl)|AV龙麻将 (日版)
Keiba Simulation - Honmei (Japan).zip|Keiba Simulation - Honmei (Japan)|本命赛马
Kekkyoku Nankyoku Daibouken (Japan).zip|Kekkyoku Nankyoku Daibouken (Japan)|南极大冒险（日）
Kekkyoku Nankyoku Daibouken (Japan) (Rev 1).zip|Kekkyoku Nankyoku Daibouken (Japan) (Rev 1)|南极大冒险
Kero Kero Keroppi no Daibouken 2 - Donuts Ike wa Oosawagi! (Japan).zip|Kero Kero Keroppi no Daibouken 2 - Donuts Ike wa Oosawagi! (Japan)|眼蛙大冒险2
Key to Solomon.zip|Key to Solomon|所罗门的钥匙
Kickle Cubicle (Europe).zip|Kickle Cubicle (Europe)|迷宫岛（欧）
Kickle Cubicle (USA).zip|Kickle Cubicle (USA)|迷宫岛（美）
Kick Master (USA).zip|Kick Master (USA)|踢王（美）
Kick Off (Europe).zip|Kick Off (Europe)|足球
Kick the king.zip|Kick the king|踢王
Kiddy Sun in Fantasia (Taiwan).zip|Kiddy Sun in Fantasia (Taiwan)|梦幻阳光小子
Kid Icarus (Europe) (Rev A).zip|Kid Icarus (Europe) (Rev A)|光之神话（欧）
Kid Icarus (USA- Europe).zip|Kid Icarus (USA- Europe)|光之神话（美）
Kid Klown in Night Mayor World (USA).zip|Kid Klown in Night Mayor World (USA)|小丑王子大冒险
Kid Kool and the Quest for the Seven Wonder Herbs (USA).zip|Kid Kool and the Quest for the Seven Wonder Herbs (USA)|加其夫天国与地狱
Kid Niki - Radical Ninja (USA).zip|Kid Niki - Radical Ninja (USA)|快杰洋枪（美）
Kid Niki - Radical Ninja (USA) (Rev A).zip|Kid Niki - Radical Ninja (USA) (Rev A)|快杰洋枪
Kidou Senshi Z Gundam - Hot Scramble (Japan) (Final Version).zip|Kidou Senshi Z Gundam - Hot Scramble (Japan) (Final Version)|机动战士Z高达:炽热争夺
Kidou Senshi Z Gundam - Hot Scramble (Japan).zip|Kidou Senshi Z Gundam - Hot Scramble (Japan)|机动战士Z高达:炽热争夺（日）
Killing battlefield.zip|Killing battlefield|杀戮战场
King Kong 2 - Ikari no Megaton Punch (Japan).zip|King Kong 2 - Ikari no Megaton Punch (Japan)|金刚2?
King Kong combination.zip|King Kong combination|金刚组合
King Neptune's Adventure (USA) (Beta) (Unl).zip|King Neptune's Adventure (USA) (Beta) (Unl)|海王的冒险
King Neptune's Adventure (USA) (Unl).zip|King Neptune's Adventure (USA) (Unl)|海王的冒险（美）
King of bombers.zip|King of bombers|炸弹王
King of Kings (Japan).zip|King of Kings (Japan)|万王之王
King of Kings- The (USA) (v1.1) (Unl).zip|King of Kings- The (USA) (v1.1) (Unl)|万王之王(v1.1)
King of Kings- The (USA) (v1.2) (Unl).zip|King of Kings- The (USA) (v1.2) (Unl)|万王之王(v1.2)
King of Kings- The (USA) (v1.3) (Unl).zip|King of Kings- The (USA) (v1.3) (Unl)|万王之王(v1.3)
King of Kings- The (USA) (v5.0) (Unl).zip|King of Kings- The (USA) (v5.0) (Unl)|万王之王(v5.0)
King's Knight (Japan).zip|King's Knight (Japan)|王国骑士（日）
Kings of the Beach - Professional Beach Volleyball (USA).zip|Kings of the Beach - Professional Beach Volleyball (USA)|沙滩之王-专业沙滩排球(美版)
King's Quest V (USA).zip|King's Quest V (USA)|国王秘史5
King's Sword - Conan.zip|King's Sword - Conan|国王之剑-柯南
Kinnikuman - Muscle Tag Match (Japan).zip|Kinnikuman - Muscle Tag Match (Japan)|筋肉人（日）
Kinnikuman - Muscle Tag Match (Japan) (Rev 1).zip|Kinnikuman - Muscle Tag Match (Japan) (Rev 1)|筋肉人
Ki no Bouken - The Quest of Ki (Japan).zip|Ki no Bouken - The Quest of Ki (Japan)|凯伊的冒险
Kirby's Adventure (Canada).zip|Kirby's Adventure (Canada)|柯比的冒险（加）
Kirby's Adventure (Europe).zip|Kirby's Adventure (Europe)|柯比的冒险（欧）
Kirby's Adventure (France).zip|Kirby's Adventure (France)|柯比的冒险（法）
Kirby's Adventure (Germany).zip|Kirby's Adventure (Germany)|柯比的冒险（德）
Kirby's Adventure (USA).zip|Kirby's Adventure (USA)|柯比的冒险（美）
Kirby's Adventure (USA) (Rev A).zip|Kirby's Adventure (USA) (Rev A)|柯比的冒险
Kiteretsu Daihyakka (Japan).zip|Kiteretsu Daihyakka (Japan)|奇天烈大百科
Kitty's Catch (USA) (Proto) (Unl).zip|Kitty's Catch (USA) (Proto) (Unl)|捉住小猫
Kiwi kiwi.zip|Kiwi kiwi|猕猴桃
Kiwi Kraze - A Bird-Brained Adventure! (USA).zip|Kiwi Kraze - A Bird-Brained Adventure! (USA)|新西兰故事 -聪明鸟的冒险
KlashBall (USA).zip|KlashBall (USA)|克拉什波尔
Klax (Japan).zip|Klax (Japan)|立体方块(日)
Klax (USA) (Beta) (Unl).zip|Klax (USA) (Beta) (Unl)|立体方块
Klax (USA) (Unl).zip|Klax (USA) (Unl)|立体方块(美)
Knight Rider (Europe).zip|Knight Rider (Europe)|霹雳游侠（欧）
Knight Rider (Japan).zip|Knight Rider (Japan)|霹雳游侠（日）
Knight Rider (USA).zip|Knight Rider (USA)|霹雳游侠（美）
Koko Adventure (Korea) (Unl).zip|Koko Adventure (Korea) (Unl)|科科探险
Konamic Sports in Seoul (Japan).zip|Konamic Sports in Seoul (Japan)|KONAMI运动之魂
Konami Hyper Soccer (Europe).zip|Konami Hyper Soccer (Europe)|科乐美超级足球
Korami World.zip|Korami World|科乐美世界
Kouryuu Densetsu Villgust Gaiden (Japan).zip|Kouryuu Densetsu Villgust Gaiden (Japan)|甲龙传说
Koushien (Japan).zip|Koushien (Japan)|甲子园
Krazy Kreatures (USA) (Beta) (Unl).zip|Krazy Kreatures (USA) (Beta) (Unl)|疯狂消除
Krazy Kreatures (USA) (Unl).zip|Krazy Kreatures (USA) (Unl)|疯狂消除（美）
Krion Conquest- The (USA).zip|Krion Conquest- The (USA)|魔女小红帽
Krusty's Fun House (Europe).zip|Krusty's Fun House (Europe)|普森一家 - 超级快乐屋（欧）
Krusty's Fun House (USA).zip|Krusty's Fun House (USA)|普森一家 - 超级快乐屋（美）
Kujaku Ou II (Japan).zip|Kujaku Ou II (Japan)|孔雀王2
Kujaku Ou (Japan).zip|Kujaku Ou (Japan)|孔雀王
Kung Fu [Chinese version].zip|Kung Fu [Chinese version]|功夫（汉）
Kung Fu (Europe).zip|Kung Fu (Europe)|功夫（欧）
Kung-Fu Heroes (USA).zip|Kung-Fu Heroes (USA)|功夫英雄
Kung Fu (Japan- USA).zip|Kung Fu (Japan- USA)|功夫（日）
Kung Fu kid.zip|Kung Fu kid|功夫小子
Kunio-kun no Nekketsu Soccer League (Japan).zip|Kunio-kun no Nekketsu Soccer League (Japan)|热血联盟足球
Kun Island.zip|Kun Island|昆岛
Kurogane Hiroshi no Yosou Daisuki! - Kachiuma Densetsu (Japan).zip|Kurogane Hiroshi no Yosou Daisuki! - Kachiuma Densetsu (Japan)|胜马传说?
Kyonshiizu 2 (Japan).zip|Kyonshiizu 2 (Japan)|僵尸小子2（日）
Kyonshiizu 2 (Japan) (Sample).zip|Kyonshiizu 2 (Japan) (Sample)|僵尸小子2
Kyoro-chan Land (Japan).zip|Kyoro-chan Land (Japan)|格斗高塔
Kyouryuu Sentai Zyuranger (Japan).zip|Kyouryuu Sentai Zyuranger (Japan)|恐龙战队
Kyouto Hana no Misshitsu Satsujin Jiken (Japan).zip|Kyouto Hana no Misshitsu Satsujin Jiken (Japan)|京都花之密室杀人事件
Kyuukyoku Harikiri Koushien (Japan).zip|Kyuukyoku Harikiri Koushien (Japan)|究极甲子园
Kyuukyoku Harikiri Stadium - '88 Senshu Shin Data Version (Japan).zip|Kyuukyoku Harikiri Stadium - '88 Senshu Shin Data Version (Japan)|究极棒球-究极爆烈体育场88
Kyuukyoku Harikiri Stadium - Heisei Gannen Ban (Japan).zip|Kyuukyoku Harikiri Stadium - Heisei Gannen Ban (Japan)|究极棒球平成元年版
Kyuukyoku Harikiri Stadium III (Japan).zip|Kyuukyoku Harikiri Stadium III (Japan)|究极棒球3
Kyuukyoku Harikiri Stadium (Japan).zip|Kyuukyoku Harikiri Stadium (Japan)|究极棒球
Kyuukyoku Tiger (Japan).zip|Kyuukyoku Tiger (Japan)|究极虎
Labyrinth island.zip|Labyrinth island|迷宫岛
Labyrinth (Japan).zip|Labyrinth (Japan)|迷宫
Land peak.zip|Land peak|陆地高峰
Lasalle Ishii no Child's Quest (Japan).zip|Lasalle Ishii no Child's Quest (Japan)|孩子的冒险(日)
Last Action Hero (USA).zip|Last Action Hero (USA)|幻影英雄
Last Armageddon (Japan).zip|Last Armageddon (Japan)|末日浩劫
Last devil hero.zip|Last devil hero|最后的恶魔英雄
Last Ninja- The (USA).zip|Last Ninja- The (USA)|最后的忍者
Last Starfighter- The (USA).zip|Last Starfighter- The (USA)|最后的星空战士
Law of the West (Japan).zip|Law of the West (Japan)|西部法律
Layla (Japan).zip|Layla (Japan)|蕾拉
Lee Trevino's Fighting Golf (Europe).zip|Lee Trevino's Fighting Golf (Europe)|战斗高尔夫（欧）
Lee Trevino's Fighting Golf (USA).zip|Lee Trevino's Fighting Golf (USA)|战斗高尔夫（美）
Legacy of the Wizard (USA).zip|Legacy of the Wizard (USA)|巫师的遗产
Legendary Wings (USA).zip|Legendary Wings (USA)|翼人传说
Legend of Kage- The (USA).zip|Legend of Kage- The (USA)|影子传说
Legend of Prince Valiant- The (Europe).zip|Legend of Prince Valiant- The (Europe)|英勇王子传奇
Legend of Robin Hood- The (USA) (Proto).zip|Legend of Robin Hood- The (USA) (Proto)|罗宾汉传说
Legend of the bell.zip|Legend of the bell|神钟
Legend of the soul.zip|Legend of the soul|灵魂传说
Legend of Zelda- The (Europe).zip|Legend of Zelda- The (Europe)|塞尔达传说（欧）
Legend of Zelda- The (Europe) (Rev A).zip|Legend of Zelda- The (Europe) (Rev A)|塞尔达传说（欧）(Rev A)
Legend of Zelda- The (USA).zip|Legend of Zelda- The (USA)|塞尔达传说（美）
Legend of Zelda- The (USA) (Rev A) (GameCube Edition).zip|Legend of Zelda- The (USA) (Rev A) (GameCube Edition)|塞尔达传说
Legend of Zelda- The (USA) (Rev A).zip|Legend of Zelda- The (USA) (Rev A)|塞尔达传说（美）(Rev A)
Legend of Zelda- The (USA) (Rev B) (GameCube Edition).zip|Legend of Zelda- The (USA) (Rev B) (GameCube Edition)|塞尔达传说（美）(Rev B)
Legends of the Diamond - The Baseball Championship Game (USA).zip|Legends of the Diamond - The Baseball Championship Game (USA)|Bandai棒球-钻石传奇
Lemmings (Europe).zip|Lemmings (Europe)|疯狂小旅鼠（欧）
Lethal Weapon (Europe).zip|Lethal Weapon (Europe)|致命武器（欧）
Lethal Weapon (USA).zip|Lethal Weapon (USA)|致命武器（美）
Life Force (USA).zip|Life Force (USA)|沙罗曼蛇（美）
Lightgun Game 2 in 1 - Cosmocop + Cyber Monster (Asia) (Unl).zip|Lightgun Game 2 in 1 - Cosmocop + Cyber Monster (Asia) (Unl)|宇宙警察+怪物射击
Lightgun Game 2 in 1 - Tough Cop + Super Tough Cop (Asia) (Unl).zip|Lightgun Game 2 in 1 - Tough Cop + Super Tough Cop (Asia) (Unl)|恶棍警察+超级恶棍警察
Linus Spacehead's Cosmic Crusade (USA) (En-Fr-De-Es) (Unl).zip|Linus Spacehead's Cosmic Crusade (USA) (En-Fr-De-Es) (Unl)|莱纳斯宇宙冒险
Lion King- The (Europe).zip|Lion King- The (Europe)|狮子王
Lipple Island (Japan).zip|Lipple Island (Japan)|利浦岛
Little bee [Chinese version].zip|Little bee [Chinese version]|小蜜蜂（汉）
Little bee.zip|Little bee|小蜜蜂
Little devil.zip|Little devil|小恶魔
Little Magic (Japan).zip|Little Magic (Japan)|小小魔法师
Little mermaid.zip|Little mermaid|小美人鱼
Little Mermaid - Ningyo Hime (Japan) (Beta).zip|Little Mermaid - Ningyo Hime (Japan) (Beta)|小美人鱼（日）（beta)
Little Mermaid - Ningyo Hime (Japan).zip|Little Mermaid - Ningyo Hime (Japan)|小美人鱼（日）
Little Monster 1 - New species is born.zip|Little Monster 1 - New species is born|小怪物1
Little Monster 2.zip|Little Monster 2|小怪物2
Little Nemo - The Dream Master (Europe).zip|Little Nemo - The Dream Master (Europe)|小尼莫:梦之勇士（欧）
Little Nemo - The Dream Master (USA).zip|Little Nemo - The Dream Master (USA)|小尼莫:梦之勇士（美）
Little Ninja Brothers (Europe).zip|Little Ninja Brothers (Europe)|超级中国拳2（欧）
Little Ninja Brothers (USA).zip|Little Ninja Brothers (USA)|超级中国拳2（美）
Little Red Hood (Australia) (Unl).zip|Little Red Hood (Australia) (Unl)|小红帽（澳）
Little Superman 2.zip|Little Superman 2|小超人2
Little white rabbit lost.zip|Little white rabbit lost|遗失的小白兔
Live treasure trio.zip|Live treasure trio|现场三人组
Locksmith (Asia) (PAL) (Unl).zip|Locksmith (Asia) (PAL) (Unl)|樂匙酒吧（亚）
Locomotive.zip|Locomotive|火车头
Lode Runner (USA).zip|Lode Runner (USA)|淘金者（美）
Lone Ranger.zip|Lone Ranger|孤单游侠
Lord of King- The (Japan).zip|Lord of King- The (Japan)|斧王
Lost city legend.zip|Lost city legend|失落城市传说
Lost Jenny.zip|Lost Jenny|迷失的珍妮
Lost Word of Jenny - Ushinawareta Message (Japan).zip|Lost Word of Jenny - Ushinawareta Message (Japan)|迷失的珍妮（日）
Lot Lot (Japan).zip|Lot Lot (Japan)|溜溜球
Love Cabin [Chinese version].zip|Love Cabin [Chinese version]|爱情小屋
Low G Man - The Low Gravity Man (Europe).zip|Low G Man - The Low Gravity Man (Europe)|低重力人（欧）
Low G Man - The Low Gravity Man (USA).zip|Low G Man - The Low Gravity Man (USA)|低重力人（美）
Lubang III.zip|Lubang III|鲁邦三世
Lucky Bingo 777 (Asia) (PAL) (Unl).zip|Lucky Bingo 777 (Asia) (PAL) (Unl)|幸运宾果777
Lunar Ball (Japan).zip|Lunar Ball (Japan)|月宫桌球（日）
Lunar Pool (Europe).zip|Lunar Pool (Europe)|月宫桌球（欧）
Lunar pool.zip|Lunar pool|月宫桌球
Lunar Pool (USA).zip|Lunar Pool (USA)|月宫桌球（美）
Luo Luo Adventure 2.zip|Luo Luo Adventure 2|洛洛大冒险2
Luo Luo Adventure 3.zip|Luo Luo Adventure 3|洛洛大冒险3
Luo Luo Adventure.zip|Luo Luo Adventure|洛洛大冒险
Lupin Sansei - Pandora no Isan (Japan).zip|Lupin Sansei - Pandora no Isan (Japan)|鲁邦三世
M82 Game Selectable Working Product Display (Europe).zip|M82 Game Selectable Working Product Display (Europe)|82合1(欧)
Machine gun.zip|Machine gun|机关枪
Mach Rider (Europe).zip|Mach Rider (Europe)|机车大赛（欧）
Mach Rider (Japan- USA).zip|Mach Rider (Japan- USA)|机车大赛（日）
Mach Rider (Japan- USA) (Rev A).zip|Mach Rider (Japan- USA) (Rev A)|机车大赛
Macross.zip|Macross|超时空要塞
Mad City (Japan) (Beta).zip|Mad City (Japan) (Beta)|鳄鱼先生
Mad City (Japan).zip|Mad City (Japan)|鳄鱼先生（日）
Madoola no Tsubasa (Japan).zip|Madoola no Tsubasa (Japan)|玛多拉之翼
Mafat Conspiracy- The (USA).zip|Mafat Conspiracy- The (USA)|玛法特的阴谋
Magg Max.zip|Magg Max|超级磁感应
Magical Kid's Doropie (Japan).zip|Magical Kid's Doropie (Japan)|魔女小红帽
Magical Mathematics (Asia) (NTSC) (Unl).zip|Magical Mathematics (Asia) (NTSC) (Unl)|小魔星达鲁鲁（亚）(NTSC)
Magical Mathematics (Asia) (PAL) (Unl).zip|Magical Mathematics (Asia) (PAL) (Unl)|小魔星达鲁鲁（亚）(PAL)
Magical Taruruuto-kun 2 - Mahou Daibouken (Japan).zip|Magical Taruruuto-kun 2 - Mahou Daibouken (Japan)|小魔星达鲁鲁2
Magical Taruruuto-kun - Fantastic World!! (Japan).zip|Magical Taruruuto-kun - Fantastic World!! (Japan)|小魔星达鲁鲁（日）
Magical Taruruuto-kun - Fantastic World!! (Japan) (Rev 1).zip|Magical Taruruuto-kun - Fantastic World!! (Japan) (Rev 1)|小魔星达鲁鲁
Magic Block (Asia) (Mega Soft) (Unl).zip|Magic Block (Asia) (Mega Soft) (Unl)|魔术积木（亚）
Magic blocks.zip|Magic blocks|魔术积木
Magic boy.zip|Magic boy|魔法小子
Magic Candle- The (Japan).zip|Magic Candle- The (Japan)|魔方（日）
Magic Cube (Asia) (PAL) (Unl).zip|Magic Cube (Asia) (PAL) (Unl)|魔方（亚）
Magic Darts (Japan).zip|Magic Darts (Japan)|飞标大赛（日）
Magic Darts (USA).zip|Magic Darts (USA)|飞标大赛（美）
Magic day boy.zip|Magic day boy|魔法男孩
Magician (USA) (Beta 1).zip|Magician (USA) (Beta 1)|魔术师(Beta 1)
Magician (USA) (Beta 2).zip|Magician (USA) (Beta 2)|魔术师(Beta 2)
Magician (USA).zip|Magician (USA)|魔术师（美）
Magic Jewelry (Asia) (Unl).zip|Magic Jewelry (Asia) (Unl)|钻石方块（亚）
Magic jewelry.zip|Magic jewelry|钻石方块
Magic John (Japan).zip|Magic John (Japan)|魔术师约翰逊
Magic Johnson's Fast Break (USA).zip|Magic Johnson's Fast Break (USA)|魔术师约翰逊的快攻
Magic Kid Googoo (Korea) (Unl).zip|Magic Kid Googoo (Korea) (Unl)|魔法少年
Magic of Scheherazade- The (USA).zip|Magic of Scheherazade- The (USA)|阿拉伯之梦
Magic square.zip|Magic square|幻方算法
Magmax (Japan).zip|Magmax (Japan)|组合金刚（日）
Magmax (USA).zip|Magmax (USA)|组合金刚（美）
Magnum Kikiippatsu - Empire City - 1931 (Japan).zip|Magnum Kikiippatsu - Empire City - 1931 (Japan)|玛克纳姆危机一发 -帝国城 -?1931
Maharaja (Japan).zip|Maharaja (Japan)|土邦主
Mahjang Companion (Asia) (Hacker) (Unl).zip|Mahjang Companion (Asia) (Hacker) (Unl)|麻雀指南（亚）
Mahjang Companion (Asia) (Sachen) (Unl).zip|Mahjang Companion (Asia) (Sachen) (Unl)|麻雀指南
Mahjong Academy (Asia) (Unl).zip|Mahjong Academy (Asia) (Unl)|麻将学园
Mahjong Block (Unknown) (Unl).zip|Mahjong Block (Unknown) (Unl)|麻将牌
Mahjong Club Nagatachou - Sousaisen (Japan).zip|Mahjong Club Nagatachou - Sousaisen (Japan)|麻将俱乐部永田町总裁战
Mahjong Club.zip|Mahjong Club|麻将俱乐部
Mahjong (Japan) (Rev A).zip|Mahjong (Japan) (Rev A)|麻将(Rev A)
Mahjong RPG Dora Dora Dora (Japan).zip|Mahjong RPG Dora Dora Dora (Japan)|麻将RPG
Mahjong Taikai (Japan).zip|Mahjong Taikai (Japan)|麻雀大戦（日）
Mahjong Taisen (Japan).zip|Mahjong Taisen (Japan)|麻雀大戦
Mahjong Trap - Si Cuan Ma Que (Asia) (Unl).zip|Mahjong Trap - Si Cuan Ma Que (Asia) (Unl)|四川麻雀-制服篇
Maison Ikkoku (Japan).zip|Maison Ikkoku (Japan)|相聚一刻
Majaventure - Mahjong Senki (Japan).zip|Majaventure - Mahjong Senki (Japan)|麻雀战记
Major League Baseball (USA).zip|Major League Baseball (USA)|棒球联盟（美）
Major League Baseball (USA) (Rev A).zip|Major League Baseball (USA) (Rev A)|棒球联盟
Major League (Japan).zip|Major League (Japan)|棒球联盟（日）
Makai Island (USA) (Proto).zip|Makai Island (USA) (Proto)|魔界岛
Makaimura (Japan).zip|Makaimura (Japan)|大魔界村
Maniac Mansion (Europe).zip|Maniac Mansion (Europe)|疯狂大楼（欧）
Maniac Mansion (Japan).zip|Maniac Mansion (Japan)|疯狂大楼（日）
Maniac Mansion (Spain).zip|Maniac Mansion (Spain)|疯狂大楼（西）
Maniac Mansion (Sweden).zip|Maniac Mansion (Sweden)|疯狂大楼（瑞）
Maniac Mansion (USA) (Beta).zip|Maniac Mansion (USA) (Beta)|疯狂大楼
Maniac Mansion (USA).zip|Maniac Mansion (USA)|疯狂大楼（美）
Mappy (Japan).zip|Mappy (Japan)|猫和老鼠
Mappy-Land (Japan).zip|Mappy-Land (Japan)|猫鼠大战（日）
Mappy-Land (USA).zip|Mappy-Land (USA)|猫鼠大战（美）
Marble Madness (Europe).zip|Marble Madness (Europe)|狂暴弹珠（欧）
Marble Madness (USA).zip|Marble Madness (USA)|狂暴弹珠（美）
Marusa no Onna (Japan).zip|Marusa no Onna (Japan)|玛鲁沙之女
Mashin Eiyuu Den Wataru Gaiden (Japan).zip|Mashin Eiyuu Den Wataru Gaiden (Japan)|魔神英雄传
Mashou (Japan).zip|Mashou (Japan)|魔钟(日版)
Masked man revenge.zip|Masked man revenge|蒙面人复仇
Masked Ninja Flower Pills (Chinese version).zip|Masked Ninja Flower Pills (Chinese version)|蒙面忍者
Masked Superman SD.zip|Masked Superman SD|蒙面超人
Master and alcoholic.zip|Master and alcoholic|主人和酒鬼
Master Chu and the Drunkard Hu (USA) (Unl).zip|Master Chu and the Drunkard Hu (USA) (Unl)|盗帅楚留香（美）
Masuzoe Youichi - Asa Made Famicom (Japan).zip|Masuzoe Youichi - Asa Made Famicom (Japan)|迷宫
Matsumoto Tooru no Kabushiki Hisshou Gaku - Part II (Japan).zip|Matsumoto Tooru no Kabushiki Hisshou Gaku - Part II (Japan)|松本亨经营必胜学2
Matsumoto Tooru no Kabushiki Hisshou Gaku - Vol. 1 (Japan).zip|Matsumoto Tooru no Kabushiki Hisshou Gaku - Vol. 1 (Japan)|松本亨经营必胜学
Maxi-15 Pack (Australia) (Unl).zip|Maxi-15 Pack (Australia) (Unl)|15合1(澳版)
Maxi 15 (USA) (Rev 1) (Unl).zip|Maxi 15 (USA) (Rev 1) (Unl)|15合1(美版)(第1版)
Maxi 15 (USA) (Unl).zip|Maxi 15 (USA) (Unl)|15合1(美版)
Max Warrior - Wakusei Kaigenrei (Japan).zip|Max Warrior - Wakusei Kaigenrei (Japan)|孤独战士-惑星戒严令
maze.zip|maze|迷宫
Maze suite.zip|Maze suite|迷宫套房
McDonaldland (Europe).zip|McDonaldland (Europe)|麦当劳（欧）
McDonald's kid.zip|McDonald's kid|麦当劳
M.C. Kids (USA) (Beta).zip|M.C. Kids (USA) (Beta)|麦当劳小子
M.C. Kids (USA).zip|M.C. Kids (USA)|麦当劳小子（美）
Measure the destination of the star.zip|Measure the destination of the star|测量星星的终点
Mechanical warfare 1.zip|Mechanical warfare 1|机械战
Mechanical warfare 2.zip|Mechanical warfare 2|机械战2
Mechanical War Vs Devil Terminator.zip|Mechanical War Vs Devil Terminator|机械战vs魔鬼终结者
Mechanized Attack (USA).zip|Mechanized Attack (USA)|机枪双雄?
Mega Man 2 (Europe).zip|Mega Man 2 (Europe)|洛克人2（欧）
Mega Man 2 (USA).zip|Mega Man 2 (USA)|洛克人2（美）
Mega Man 3 (Europe) (Rev A).zip|Mega Man 3 (Europe) (Rev A)|洛克人3（欧）(Rev A)
